************* Module main
main.py:346: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:347: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:349: [C0301(line-too-long), ] Line too long (129/100)
main.py:352: [C0304(missing-final-newline), ] Final newline missing
main.py:132: [W1401(anomalous-backslash-in-string), ] Anomalous backslash in string: '\w'. String constant might be missing an r prefix.
main.py:132: [W1401(anomalous-backslash-in-string), ] Anomalous backslash in string: '\s'. String constant might be missing an r prefix.
main.py:262: [W1401(anomalous-backslash-in-string), ] Anomalous backslash in string: '\w'. String constant might be missing an r prefix.
main.py:262: [W1401(anomalous-backslash-in-string), ] Anomalous backslash in string: '\s'. String constant might be missing an r prefix.
main.py:1: [C0114(missing-module-docstring), ] Missing module docstring
main.py:6: [W0622(redefined-builtin), ] Redefining built-in 'complex'
main.py:1: [E0401(import-error), ] Unable to import 'textblob'
main.py:2: [W0401(wildcard-import), ] Wildcard import tkinter
main.py:4: [E0401(import-error), ] Unable to import 'textblob'
main.py:4: [W0404(reimported), ] Reimport 'TextBlob' (imported line 1)
main.py:5: [E0401(import-error), ] Unable to import 'nltk'
main.py:6: [W0401(wildcard-import), ] Wildcard import csv
main.py:8: [E0401(import-error), ] Unable to import 'pandas'
main.py:9: [E0401(import-error), ] Unable to import 'gensim'
main.py:10: [E0401(import-error), ] Unable to import 'seaborn'
main.py:11: [E0401(import-error), ] Unable to import 'nltk.corpus'
main.py:12: [E0401(import-error), ] Unable to import 'textblob'
main.py:12: [W0404(reimported), ] Reimport 'TextBlob' (imported line 1)
main.py:13: [E0401(import-error), ] Unable to import 'nltk.stem'
main.py:14: [E0401(import-error), ] Unable to import 'spellchecker'
main.py:15: [E0401(import-error), ] Unable to import 'textblob'
main.py:16: [E0401(import-error), ] Unable to import 'PIL'
main.py:17: [E0401(import-error), ] Unable to import 'gensim.models'
main.py:18: [E0401(import-error), ] Unable to import 'gensim.scripts.glove2word2vec'
main.py:19: [E0401(import-error), ] Unable to import 'matplotlib.pyplot'
main.py:20: [E0401(import-error), ] Unable to import 'chart_studio.plotly'
main.py:21: [E0401(import-error), ] Unable to import 'plotly.tools'
main.py:22: [W0404(reimported), ] Reimport 'matplotlib.pyplot' (imported line 19)
main.py:22: [E0401(import-error), ] Unable to import 'matplotlib.pyplot'
main.py:24: [E0401(import-error), ] Unable to import 'cv2'
main.py:41: [C0116(missing-function-docstring), FirstWindow] Missing function or method docstring
main.py:41: [C0103(invalid-name), FirstWindow] Function name "FirstWindow" doesn't conform to snake_case naming style
main.py:49: [W0621(redefined-outer-name), FirstWindow] Redefining name 'label1' from outer scope (line 33)
main.py:84: [W0621(redefined-outer-name), FirstWindow] Redefining name 'button1' from outer scope (line 90)
main.py:62: [C0103(invalid-name), FirstWindow.disp] Constant name "n" doesn't conform to UPPER_CASE naming style
main.py:62: [W0601(global-variable-undefined), FirstWindow.disp] Global variable 'n' undefined at the module level
main.py:65: [C0103(invalid-name), FirstWindow.disp] Variable name "sa" doesn't conform to snake_case naming style
main.py:69: [C0103(invalid-name), FirstWindow.disp] Variable name "rs" doesn't conform to snake_case naming style
main.py:73: [C0103(invalid-name), FirstWindow.disp] Variable name "rs" doesn't conform to snake_case naming style
main.py:79: [C0103(invalid-name), FirstWindow.disp] Variable name "rs" doesn't conform to snake_case naming style
main.py:94: [C0116(missing-function-docstring), SecondWindow] Missing function or method docstring
main.py:94: [C0103(invalid-name), SecondWindow] Function name "SecondWindow" doesn't conform to snake_case naming style
main.py:102: [W0621(redefined-outer-name), SecondWindow] Redefining name 'label1' from outer scope (line 33)
main.py:119: [W0621(redefined-outer-name), SecondWindow] Redefining name 'button1' from outer scope (line 90)
main.py:214: [W0621(redefined-outer-name), SecondWindow] Redefining name 'button2' from outer scope (line 220)
main.py:114: [C0103(invalid-name), SecondWindow] Variable name "dt" doesn't conform to snake_case naming style
main.py:123: [R0914(too-many-locals), SecondWindow.filesentimentaction] Too many local variables (21/15)
