************* Module cosmo
cosmo.py:151: [C0209(consider-using-f-string), bright] Formatting a regular string which could be a f-string
cosmo.py:151: [C0103(invalid-name), bright] Variable name "f" doesn't conform to snake_case naming style
cosmo.py:154: [C0116(missing-function-docstring), black] Missing function or method docstring
cosmo.py:166: [W0621(redefined-outer-name), black] Redefining name 'f' from outer scope (line 264)
cosmo.py:157: [W0702(bare-except), black] No exception type(s) specified
cosmo.py:166: [C0209(consider-using-f-string), black] Formatting a regular string which could be a f-string
cosmo.py:166: [C0103(invalid-name), black] Variable name "f" doesn't conform to snake_case naming style
cosmo.py:169: [C0116(missing-function-docstring), Orignal] Missing function or method docstring
cosmo.py:169: [C0103(invalid-name), Orignal] Function name "Orignal" doesn't conform to snake_case naming style
cosmo.py:186: [W0621(redefined-outer-name), Orignal] Redefining name 'f' from outer scope (line 264)
cosmo.py:172: [W0702(bare-except), Orignal] No exception type(s) specified
cosmo.py:186: [C0209(consider-using-f-string), Orignal] Formatting a regular string which could be a f-string
cosmo.py:186: [C0103(invalid-name), Orignal] Variable name "f" doesn't conform to snake_case naming style
cosmo.py:190: [C0116(missing-function-docstring), about_page] Missing function or method docstring
cosmo.py:199: [W0212(protected-access), about_page] Access to a protected member _show of a client class
cosmo.py:200: [C0116(missing-function-docstring), help_page] Missing function or method docstring
cosmo.py:205: [W0105(pointless-string-statement), ] String statement has no effect
cosmo.py:240: [W0105(pointless-string-statement), ] String statement has no effect
cosmo.py:252: [W0105(pointless-string-statement), ] String statement has no effect
cosmo.py:272: [W0702(bare-except), ] No exception type(s) specified
cosmo.py:286: [W0702(bare-except), ] No exception type(s) specified
cosmo.py:289: [W0105(pointless-string-statement), ] String statement has no effect
cosmo.py:5: [C0411(wrong-import-order), ] standard import "from tkinter import ttk, filedialog as fd, messagebox as msg" should be placed before "from Fileop import File"
cosmo.py:7: [C0411(wrong-import-order), ] standard import "import sys, os, re, threading, json" should be placed before "from Fileop import File"
cosmo.py:7: [C0411(wrong-import-order), ] standard import "import sys, os, re, threading, json" should be placed before "from Fileop import File"
cosmo.py:7: [C0411(wrong-import-order), ] standard import "import sys, os, re, threading, json" should be placed before "from Fileop import File"
